cat_id,parent_id,cat_name
1,,Электроника
2,,Ноутбуки и компьютеры
3,,Бытовая техника
4,,Детские товары
5,,"Дача, сад и огород"
6,,Продукты
7,,Товары для красоты
8,,Зоотовары
9,,Товары для спорта и отдыха
10,,Автотовары
11,,Строительство и ремонт
12,,Товары для дома
13,,Мебель
14,,"Одежда, обувь и аксессуары"
16,,Аптека
19,,Книги
20,,Оборудование
22,,Товары для школы и офиса
23,,Бытовая химия
26,,Гигиена
28,,Гейминг
29,,Досуг и развлечения
30,,Ремёсла
101,1.0,Смартфоны и гаджеты
102,1.0,"Ноутбуки, планшеты, электронные книги"
103,1.0,Компьютеры и комплектующие
104,1.0,Телевизоры и аксессуары
105,1.0,Умные колонки
106,1.0,Цифровые товары
107,1.0,Наушники и аудиотехника
108,1.0,Гейминг
109,1.0,Видеотехника
110,1.0,Фото- и видеокамеры
111,1.0,Оргтехника и расходные материалы
112,1.0,Сетевое оборудование
113,1.0,Умный дом
114,1.0,Электронные музыкальные инструменты
115,1.0,Автомобильная электроника
117,1.0,Радиоуправляемые модели
118,1.0,Аксессуары для электроники
119,2.0,Ноутбуки и планшеты
120,2.0,Настольные ПК и моноблоки
121,2.0,Компьютерные комплектующие
122,2.0,Мониторы
123,2.0,Гейминг
124,2.0,Периферийные устройства компьютера
125,2.0,Оргтехника и расходные материалы
126,2.0,Сетевое оборудование
127,2.0,Накопители данных
128,2.0,Программное обеспечение
129,2.0,Оборудование для презентаций
130,2.0,Серверы и СКС
131,2.0,Запчасти для ноутбуков
132,1.0,Батарейки и электропитание
133,2.0,Компьютерная мебель
134,3.0,Крупная техника для кухни
135,3.0,Техника для дома
136,3.0,Мелкая техника для кухни
137,3.0,Встраиваемая бытовая техника
138,3.0,Климатическая техника для дома
139,3.0,Техника для красоты и здоровья
140,3.0,Умный дом
141,4.0,Детские игрушки и игры
142,4.0,Детский спорт
143,4.0,Коляски и автокресла
144,4.0,Подгузники и гигиена
145,4.0,Питание и кормление
146,4.0,Товары для творчества и хобби
147,4.0,Детская комната
148,4.0,Товары для школы и обучения
149,4.0,Развитие и обучение
151,4.0,Товары для мам
152,4.0,Детская одежда и обувь
153,5.0,Садовая техника
154,5.0,Сборные и надувные бассейны и аксессуары
156,5.0,"Души, умывальники, туалеты"
157,5.0,Аксессуары для полива
158,5.0,Садовые инструменты
159,5.0,Удобрения и уход за растениями
161,5.0,"Пикник, барбекю, гриль"
162,5.0,Фонтаны и садовый декор
164,5.0,Парники и теплицы
165,6.0,Только на Маркете
166,6.0,"Чай, кофе, какао"
169,6.0,"Макароны, крупы"
170,6.0,Растительное масло
173,6.0,Снеки
176,6.0,"Десертные соусы, варенье, мед"
177,6.0,"Орехи, семена, сухофрукты"
180,6.0,Хлеб и выпечка
182,6.0,Молочные продукты
185,6.0,Замороженные продукты
188,6.0,Алкоголь
191,7.0,Средства для ухода за волосами
192,7.0,Средства по уходу за лицом
193,7.0,Средства по уходу за телом
194,7.0,Декоративная косметика
195,7.0,Парфюмерия
196,7.0,Солнцезащитные средства и автозагары для тела
198,7.0,Премиальная косметика
199,7.0,Косметика и средства для бритья для мужчин
200,7.0,Средства для ухода за ногтями
201,7.0,Инструменты и аксессуары для макияжа и ухода за собой
202,7.0,Техника для красоты
203,7.0,Для салонов красоты
211,8.0,Товары для рыб и рептилий
214,8.0,Ветаптека
218,9.0,Фитнес и йога
219,9.0,Тренажеры спортивные
221,9.0,Товары для командных видов спорта
222,9.0,Товары для водного спорта
223,9.0,Спортивные игры
226,9.0,"Велосипеды, запчасти и аксессуары"
227,9.0,Электротранспорт
228,9.0,Товары для бокса и единоборств
229,9.0,"Скейты, ролики, самокаты, BMX"
230,9.0,Товары для туризма и активного отдыха
231,9.0,Товары для охоты и рыбалки
233,9.0,Стрелковый спорт
235,9.0,Спортивные дисциплины
236,9.0,Детский спорт
237,9.0,Спортивная защита
238,9.0,Рюкзаки и спортивные сумки
241,10.0,Автомобильные шины и диски
242,10.0,Автомобильная электроника
243,10.0,Запчасти для авто- и мототехники
244,10.0,Аксессуары и оборудование для автомобиля
245,10.0,Аккумуляторы
247,10.0,Оборудование для автосервисов
248,10.0,Автомобильные инструменты
249,10.0,Автомобильные противоугонные устройства
252,10.0,Автохимия и автокосметика
253,11.0,Строительные инструменты
254,11.0,Сантехника и товары для ванной комнаты
255,11.0,Водоснабжение
256,11.0,Системы отопления
257,11.0,Вентиляция
258,11.0,Электрика
259,11.0,Строительные материалы
260,11.0,Отделочные материалы
261,11.0,"Двери, окна и аксессуары"
262,11.0,Крепеж и фурнитура
264,12.0,Посуда и кухонные принадлежности
265,12.0,Освещение
266,12.0,Уход за одеждой и обувью
267,12.0,Хозяйственные товары
268,12.0,Хранение в доме
269,12.0,Текстиль для дома
271,12.0,Домашний интерьер
272,12.0,Мебель
273,12.0,Товары для праздников
274,12.0,Умный дом
275,12.0,Все для Нового года
276,13.0,Столы и стулья
277,13.0,Мебель для спальни
279,13.0,"Шкафы, тумбы, комоды"
280,13.0,Кухонные гарнитуры и мебель для кухни
281,13.0,Мебель для ванной
283,13.0,Зеркала интерьерные
284,13.0,Мебель для прихожей
286,13.0,Детская мебель
287,13.0,"Надувная, плетеная и прочая мебель"
288,13.0,Садовая мебель
290,14.0,Женская одежда
291,14.0,Мужская одежда
294,14.0,"Сумки, портфели, чемоданы"
295,14.0,"Аксессуары, часы и украшения"
324,16.0,Сезон аллергии
325,16.0,Лекарственные препараты и БАД
327,16.0,Диабет
328,16.0,Медицинские приборы и изделия
329,16.0,Оптика
333,16.0,Массажёры и миостимуляторы
336,16.0,Медицинские изделия и материалы
339,16.0,Медицинское оборудование
361,19.0,Художественная литература
362,19.0,Учебная литература
366,19.0,Нехудожественная литература
373,20.0,Торговое оборудование
374,20.0,Оборудование для салонов красоты
378,20.0,Системы охраны и сигнализации
380,20.0,Оборудование для промышленного производства
381,20.0,Пищевое оборудование
382,20.0,Оборудование и детали для ремонта электроники
383,20.0,Чистящая и моющая техника
384,20.0,Профессиональное сценическое и аудиооборудование
385,20.0,Строительное оборудование
388,20.0,Рекламные конструкции и информационные материалы
390,20.0,Промышленное климатическое оборудование
391,20.0,Развлекательное оборудование
392,20.0,Лабораторное оборудование
402,22.0,"Рюкзаки, ранцы, сумки"
403,22.0,"Тетради, блокноты, дневники"
404,22.0,Офисная бумага и пленка
406,22.0,Чертежные инструменты
407,22.0,Канцелярские товары для учебы
415,22.0,Комната ученика
417,22.0,Школьная форма для мальчиков
418,23.0,Стирка и глажение
419,23.0,Средства для посуды
420,23.0,Чистящие и моющие средства
421,23.0,Средства для ухода за бытовой техникой
422,23.0,Инвентарь для уборки
423,23.0,Освежители воздуха
432,26.0,Предметы личной гигиены
433,26.0,Уход за полостью рта
436,28.0,Игровые приставки
438,28.0,Игровые ноутбуки
440,28.0,Игры для приставок и ПК
444,28.0,Nintendo
445,28.0,4K гейминг
446,28.0,Игровая периферия
451,28.0,Товары для стриминга
456,29.0,Товары для праздников
458,29.0,Все для творчества
459,29.0,Музыкальные инструменты
460,29.0,Музыкальные диски и пластинки
462,29.0,Коллекционирование
463,29.0,Подарочные сертификаты и цифровые продукты
464,29.0,Телескопы и микроскопы
465,29.0,Сувенирная продукция
469,30.0,Посуда
470,30.0,Текстиль
471,30.0,Интерьер
472,30.0,Детские товары
475,2.0,Источники бесперебойного питания
1001,101.0,Смартфоны
1003,101.0,Умные часы и браслеты
1005,101.0,Аксессуары для мобильных телефонов
1006,101.0,Аксессуары для смарт-часов
1007,101.0,Гаджеты для здоровья и фитнеса
1008,101.0,Рации
1013,101.0,Запчасти для мобильных телефонов
1014,102.0,Ноутбуки
1015,102.0,Аксессуары и запчасти для ноутбуков
1016,102.0,Гейминг
1018,102.0,Аксессуары и запчасти для планшетов
1019,102.0,Электронные книги
1020,102.0,Аксессуары для электронных книг
1021,102.0,Графические планшеты
1025,102.0,USB флэш-накопители
1026,102.0,Устройства для чтения карт памяти
1027,102.0,Аккумуляторы для ноутбуков и планшетов
1030,103.0,Настольные компьютеры
1031,103.0,Гейминг
1032,103.0,Компьютерные комплектующие
1043,103.0,Аксессуары для компьютеров
1045,103.0,Источники бесперебойного питания
1046,103.0,Стабилизаторы электрического напряжения
1051,103.0,Компьютерная мебель
1052,104.0,Телевизоры
1054,104.0,Пульты ДУ
1055,104.0,3D-очки
1057,104.0,Оборудование для презентаций
1061,105.0,Умные колонки Apple
1064,105.0,Умные колонки Sonos
1072,106.0,Подписки медиасервисов
1077,106.0,Игровая валюта
1078,106.0,Цифровые книги
1081,107.0,Аксессуары для наушников и гарнитур
1082,107.0,Умные колонки
1083,107.0,Портативная акустика
1084,107.0,Акустические системы
1085,107.0,Аудиоусилители и ресиверы
1086,107.0,Микрофоны
1087,107.0,Проигрыватели виниловых дисков
1088,107.0,Музыкальные центры
1089,107.0,Цифровые плееры и диктофоны
1090,107.0,Караоке
1094,107.0,Радиоприемники
1099,108.0,Игровые приставки
1101,108.0,Игровые ноутбуки
1102,108.0,Игровые компьютеры
1103,108.0,Игры для приставок и ПК
1105,108.0,PlayStation
1106,108.0,Xbox
1110,108.0,Игровые комплектующие
1115,108.0,Компьютерные кресла
1116,108.0,Аксессуары для игровых приставок
1118,109.0,Мультимедиа-проекторы
1122,109.0,Аксессуары и запчасти для проекторов
1124,109.0,Документ-камеры
1131,109.0,Аккумуляторы для аудио/видеотехники
1132,110.0,Фотоаппараты
1133,110.0,Объективы для фотокамер
1134,110.0,Экшн-камеры
1135,110.0,Видеокамеры
1137,110.0,Фотовспышки
1139,110.0,Фотоаппараты моментальной печати
1140,110.0,Штативы и моноподы для фото/видеокамер
1141,110.0,Цифровые фоторамки и фотоальбомы
1142,110.0,Аксессуары для фото/видеотехники
1144,110.0,Специальное оборудование
1145,110.0,Оптические приборы
1147,111.0,"Принтеры, МФУ и аксессуары"
1148,111.0,Сканеры
1149,111.0,Уничтожители бумаг (шредеры)
1152,111.0,Резаки для бумаги
1154,111.0,Калькуляторы
1158,111.0,Интерактивные доски и аксессуары
1159,111.0,Картриджи и расходные материалы
1160,111.0,Аксессуары и запчасти для прочей оргтехники
1161,111.0,Чистящие принадлежности для ПК
1166,112.0,Оборудование для аудио- и видеоконференций
1170,112.0,Системы доступа и коммуникационные сервера
1171,112.0,Конвертеры интерфейсов и скоростей
1184,113.0,Красота и здоровье
1185,113.0,Электроника
1186,113.0,Освещение и электрика
1195,114.0,DJ-оборудование
1198,115.0,Автомобильная акустика
1199,115.0,Автомобильные усилители
1201,115.0,Аксессуары
1205,115.0,Карты и программы GPS-навигации
1206,115.0,Радар-детекторы автомобильные
1211,115.0,Автомобильные камеры заднего вида
1216,115.0,Автомобильные разветвители прикуривателя
1229,118.0,USB-концентраторы и переходники
1234,118.0,Портативные аккумуляторы
1238,118.0,Кронштейны и стойки для телевизоров
1242,119.0,Ноутбуки
1243,119.0,Аксессуары и запчасти для ноутбуков
1244,119.0,Планшеты
1245,119.0,Аксессуары и запчасти для планшетов
1248,120.0,Настольные компьютеры
1249,120.0,Моноблоки
1250,121.0,Видеокарты
1251,121.0,Процессоры (CPU)
1253,121.0,Модули памяти
1259,121.0,Компьютерные корпуса
1260,121.0,Кулеры и системы охлаждения для ПК
1261,121.0,Видеозахват
1265,121.0,Прочие аксессуары для ПК
1268,122.0,Держатели и подставки для мониторов
1272,123.0,Игры для приставок и ПК
1273,123.0,Мобильный гейминг
1275,123.0,Xbox
1276,123.0,Nintendo
1277,123.0,Игровые приставки
1280,123.0,4K гейминг
1281,123.0,Игровая периферия
1282,123.0,Игровые комплектующие
1285,123.0,Товары для стриминга
1290,124.0,Мониторы
1291,124.0,Клавиатуры
1293,124.0,Комплекты клавиатур и мышей
1295,124.0,"Рули, джойстики, геймпады"
1300,124.0,Bluetooth-адаптеры
1303,124.0,Внешние оптические приводы
1304,124.0,"Кронштейны, держатели и подставки для компьютерной техники"
1305,124.0,Мультимедиа-проекторы
1306,124.0,Наушники и гарнитуры
1308,124.0,Аксессуары для компьютеров
1309,125.0,"Принтеры, сканеры, копиры"
1310,125.0,"Ламинаторы, брошюровщики, резаки"
1311,125.0,Шредеры и аксессуары
1312,125.0,Аксессуары и запчасти для прочей оргтехники
1316,126.0,Роутеры
1318,126.0,Беспроводное оборудование
1321,126.0,"Сетевые кабели, разъемы, переходники"
1322,126.0,Сетевые адаптеры
1324,126.0,Прочее сетевое оборудование
1327,127.0,Внутренние жесткие диски
1329,127.0,Карты флэш-памяти
1335,127.0,Сумки и боксы для дисков
1338,128.0,Антивирусы для ПК
1344,129.0,Проекционные экраны
1345,129.0,Аксессуары для проекторов
1347,129.0,Интерактивные доски и аксессуары
1350,129.0,Презентеры
1353,130.0,Комплектующие для серверов
1357,131.0,Шлейфы и платы для ноутбуков
1361,131.0,Микросхемы и мосты для ноутбуков
1362,131.0,Материнские платы для ноутбуков
1365,131.0,Аккумуляторы для ноутбуков
1367,132.0,Зарядные устройства для аккумуляторов
1370,132.0,Аккумуляторные батареи
1372,133.0,Компьютерные кресла
1375,134.0,Холодильники
1376,134.0,Посудомоечные машины
1377,134.0,Морозильники
1378,134.0,Кухонные плиты
1379,134.0,Кухонные вытяжки
1380,134.0,Фильтры для кухонных вытяжек
1382,134.0,Кулеры для воды и питьевые фонтанчики
1383,134.0,Аксессуары для техники
1388,135.0,Стиральные и сушильные машины
1389,135.0,Пылесосы и аксессуары
1390,135.0,Уход за одеждой
1391,135.0,Уборка в доме
1392,135.0,Швейное оборудование
1393,136.0,Приготовление блюд
1394,136.0,Приготовление напитков
1395,136.0,Измельчение и смешивание
1396,136.0,Прочая техника для кухни
1397,137.0,Духовые шкафы встраиваемые
1398,137.0,Варочные панели встраиваемые
1399,137.0,Холодильники встраиваемые
1400,137.0,Стиральные машины встраиваемые
1401,137.0,Посудомоечные машины встраиваемые
1402,137.0,Вытяжки встраиваемые
1403,137.0,Измельчители пищевых отходов
1404,137.0,Встраиваемые морозильники
1405,137.0,Микроволновые печи встраиваемые
1407,137.0,Встраиваемые винные шкафы
1409,137.0,Комплекты встраиваемой техники
1412,138.0,Кондиционеры
1413,138.0,Вентиляторы бытовые
1414,138.0,Блоки кондиционеров
1415,138.0,Очистители и увлажнители воздуха
1417,138.0,Осушители воздуха
1420,138.0,Аксессуары для климата
1425,139.0,Приборы для ухода за полостью рта
1426,139.0,Эпиляторы и женские электробритвы
1427,139.0,Аксессуары для электробритв и эпиляторов
1430,139.0,Приборы для ухода за телом
1431,139.0,Массажеры
1433,140.0,Бытовая техника
1434,140.0,Климат
1438,140.0,Безопасность
1440,141.0,Конструкторы
1441,141.0,Игры для детей
1442,141.0,Куклы и аксессуары
1443,141.0,Робототехника и Stem-игрушки
1447,141.0,Интерактивные мягкие игрушки
1448,141.0,Игрушки для детей до 3 лет
1449,141.0,Радиоуправляемые модели и игрушки
1450,141.0,Игрушечный транспорт
1452,141.0,Сюжетно-ролевые игры и игрушки
1453,141.0,Развивающие и обучающие игрушки
1456,141.0,Интерактивные игрушки
1462,142.0,Спорт дома
1463,142.0,Танцы и гимнастика
1464,142.0,Идем в бассейн
1466,142.0,Снегокаты
1467,142.0,Тюбинги и ледянки
1471,143.0,Детские автокресла
1472,143.0,Детские коляски
1477,143.0,Сумки для прогулок
1480,144.0,"Подгузники, салфетки и пеленки"
1481,144.0,Горшки и детские сиденья на унитаз
1482,144.0,Пеленальные столики и доски для малышей
1484,144.0,Косметика и гигиена
1486,144.0,Детская аптечка
1490,145.0,Стульчики для кормления малышей
1491,145.0,Бутылочки и аксессуары для кормления
1492,145.0,Молокоотсосы для кормящих мам
1495,145.0,Пустышки и аксессуары
1496,145.0,Детские весы
1497,145.0,Питание для беременных и кормящих
1499,145.0,Готовим сами
1502,146.0,Пазлы и головоломки
1503,146.0,Товары для рисования
1504,146.0,Товары для лепки
1507,146.0,Раскраски и роспись
1509,146.0,Опыты и исследования
1511,146.0,Поделки
1514,146.0,Товары для шитья и вышивания
1519,146.0,Бумага для творчества
1520,146.0,Товары для праздников
